parameter,super_bowl_value,olympics_value,unit,source_sb,source_oly
attendance,65000,8000000,spectators,"NFL official ticket sales","Olympics official ticket sales"
total_co2_low,75000,2500000,tCO2e,"Jones (2018) J. Sust. Tourism; Collins et al. (2009) Tourism Mgmt","IOC Sustainability Reports (London 2012); Cereceda et al. (2022) EIA Review"
total_co2_mid,100000,3500000,tCO2e,"Jones (2018); Collins et al. (2009); ENGIE Impact (2024) bottom-up model","IOC Sustainability Reports (Tokyo 2020 2.7Mt, London 2012 3.3Mt, Rio 2016 3.6Mt midpoint); Cereceda et al. (2022) meta-analysis"
total_co2_high,150000,4500000,tCO2e,"Jones (2018); Collins et al. (2009)","IOC Sustainability Reports; Cereceda et al. (2022)"
duration_days,1,17,days,"NFL schedule","Olympic competition schedule"
scope1_pct,8,12,percent,"Jones (2018) stadium energy benchmarking","IOC Sustainability Report (Tokyo 2020)"
scope2_pct,17,22,percent,"ENGIE Impact (2024); eGRID + stadium MWh estimate","IOC Sustainability Report"
scope3_travel_pct,55,40,percent,"Jones (2018) bottom-up flight model: 125k visitors × 2500 mi × 0.18 kg/mi","Cereceda et al. (2022) meta-analysis of Olympic aviation"
scope3_accommodation_pct,15,14,percent,"Jones (2018) hotel occupancy × emission factor","IOC Sustainability Report"
scope3_other_pct,5,0,percent,"Jones (2018) food/merchandise synthesis","N/A for Olympics structure"
scope3_construction_pct,0,12,percent,"N/A (existing NFL stadium)","IOC Evaluation Commission Reports (embedded carbon in venues)"
venues_count,1,35,count,"Existing NFL stadium (no new build)","Multiple venues (temporary + permanent)"
temporary_venue_pct,0,25,percent,"N/A","IOC Evaluation Commission Reports; Cereceda et al. (2022)"
total_visitors,125000,5000000,visitors,"NFL/ENGIE Impact (incl. non-ticketed)","IOC (unique visitors estimate)"
avg_roundtrip_miles,2500,5000,miles,"Estimated fan travel distance","Estimated international + domestic travel"
emission_factor_per_mile,0.18,0.15,kgCO2e/seat-mile,"Jones (2018) aviation emission factor","IOC / ICAO long-haul emission factor"
