category,metric,value,unit,source,notes
General,Event,Super Bowl LIX,,NFL,February 9 2025 Caesars Superdome New Orleans LA
General,Host City,New Orleans,,NFL,11th Super Bowl hosted (most of any city)
General,Attendance,65000,spectators,NFL/Stadium capacity,Caesars Superdome capacity
General,Estimated Visitors,125000+,people,ENGIE Impact/NFL Green,Including fans without game tickets
General,Global TV Viewership,120+ million,people,Industry estimates,Estimated global audience
Scope1_Direct,Stadium Game-Day Energy,MWh,not publicly available as comprehensive LCA,No full Scope 1 inventory published
Scope2_Indirect,Grid Emission Factor (SRMV eGRID),0.363,kgCO2/kWh,EPA eGRID2022,SERC Mississippi Valley subregion
Scope2_Indirect,RECs/Clean Energy Procured,3300,MWh,Entergy New Orleans,"Energy swap from nuclear plant St. Francisville; offset ~1092 metric tons CO2"
Scope2_Indirect,Net Zero Energy Designation,Yes (claimed),,NFL Green/ENGIE Impact,"Achieved through REC procurement; critics question accounting methodology"
Scope3_Indirect,Fan Air Travel Emissions,ESTIMATED,cannot be precisely quantified,Simulation/Estimated,"Dominant Scope 3 source; 125k+ visitors flying to MSY"
Scope3_Indirect,Team/Staff Travel Emissions,ESTIMATED,,Simulation/Estimated,Teams equipment trucks staff flights
Carbon_Offset,Total CO2 Offset,3000+,metric tons CO2,Entergy New Orleans,Through REC procurement and offset programs
Carbon_Offset,CO2e per Attendee (rough estimate),~0.05,metric tons CO2e per spectator,Calculated/Estimated,"Based on 3000t offset / 65000 attendees = 46 kg/attendee (Scope 2 only; real total much higher)"
Waste,Materials Recovered,250,tons,NFL Green,5x increase from Super Bowl LVIII
Waste,Food Recovered,12348, pounds (5.6 metric tons),NFL Green/Second Harvest,10290 meals donated to New Orleans Mission
Waste,Oyster Shells Collected,59,tons,Coalition to Restore Coastal Louisiana,Used for living shoreline construction in Leeville LA
Waste,Extra Recycling Bins,200,bins,NFL Green,Additional 15000 gallons of recycling capacity
Waste,NFL House Zero-Waste Target,90+,% diversion,NFL Green,Commissioner's Party and NFL House
Waste,Glass Recycling,Processed into coastal restoration sand,,NFL Green,Game-day glass recycled for coastal projects
Community,Tree Saplings Planted (Tchefuncte),600,trees,NFL Green,Madisonville LA near Tchefuncte Lighthouse
Community,Reforestation Trees Planted,5900,trees,NFL Green,Large-scale reforestation effort
Community,Marsh Grasses Planted,thousands,plants,NFL Green,Wetland stabilization project
Community,Hardin Park Neighborhood Cleanup,Yes,,NFL Green,New trees and park benches installed
Context,Louisiana Wetland Loss Rate,1 football field per 100 minutes,area,USGS/CRCL,"~2.5 football fields lost during the ~4-hour game"
Context,Host City Grid Carbon Intensity,0.363,kgCO2/kWh,EPA eGRID2022,SRMV subregion; Louisiana 4% renewable
Context,Host City Feb Avg Temperature,13.9,C,NOAA 1991-2020 Normals,Mild winter conditions; no heating demand for dome
Context,Stadium LEED Certification,None (0),,Caesars Superdome,No formal green building certification
