city_full,city_short,state,superbowl_hosted,superbowl_years,egrid_subregion,grid_carbon_factor_kgCO2_per_kWh,grid_carbon_lb_per_MWh,renewable_share_pct,feb_avg_temp_c,feb_high_f,feb_low_f,annual_precip_inches,water_stress_wri_score,water_stress_label,waste_recycling_rate_pct,public_transit_share_pct,airport_code,airport_enplanements_millions_2024,stadium_name,stadium_leed_level,stadium_has_dome,stadium_roof_type,population_density_per_sqmi,parkland_pct_city_area,park_acres_per_1000_residents,data_completeness_pct,notes
New Orleans,new_orleans,LA,Yes,"VII, IX, XII, XV, XX, XXIV, XXXI, XXXVI, XLVII, LIX",SRMV,0.363,801.0,4,13.9,66,49,63.3,1.0,Low,15,2.5,MSY,12.5,Caesars Superdome,0,1,FixedDome,2100,19,28.0,85,"WRI Aqueduct estimated for Lower Mississippi basin; waste rate estimated from Louisiana state data"
Miami (Miami Gardens),miami,FL,Yes,"II, III, V, X, XIII, XXIII, XXIX, XXXIII, XLI, XLIV, LIV",FRCC,0.369,813.8,8,21.4,78,63,67.4,1.5,Low-Medium,42,2.8,MIA,26.6,Hard Rock Stadium,0,0,OpenAir+Canopy,12787,7,2.5,90,"Miami-Dade County recycling rate; Hard Rock canopy added 2015"
Tampa,tampa,FL,Yes,"XVIII, XXV, XXXV, XLIII, LV",FRCC,0.369,813.8,8,18.3,74,56,56.1,1.5,Low-Medium,35,1.7,TPA,12.1,Raymond James Stadium,0,0,OpenAir,3500,12,7.0,85,"Waste rate estimated from Florida county data; transit share estimated from ACS"
Atlanta,atlanta,GA,Yes,"XXVIII, XXXIV, LIII",SRTV,0.423,933.1,12,9.2,58,39,50.4,1.5,Low-Medium,25,3.4,ATL,52.5,Mercedes-Benz Stadium,4,1,Retractable,3800,6,10.7,90,LEED Platinum confirmed; waste rate estimated from Georgia data
Inglewood (Los Angeles),inglewood,CA,Yes,"I, VII, LVI",CAMX,0.226,497.4,51,15.0,68,50,12.2,4.0,High,65,3.3,LAX,37.8,SoFi Stadium,3,1,FixedDome(ETFE),8068,7,8.0,90,"SoFi designed to LEED Gold; LA city Zero Waste goal 2025; city density is LA city proper"
Glendale (Phoenix),glendale,AZ,Yes,"XXX, XLII, XLIX, LVII",AZNM,0.352,776.0,16,15.6,71,49,7.2,4.0,High,22,3.7,PHX,25.6,State Farm Stadium,0,1,Retractable,3208,12,16.0,88,"Phoenix recycling rate goal 40% by 2020 (not met); park data includes desert preserves"
Las Vegas (Paradise),las_vegas,NV,Yes,LVIII,AZNM,0.352,776.0,40,11.7,63,43,4.2,4.5,ExtremelyHigh,22,3.0,LAS,28.2,Allegiant Stadium,3,1,FixedDome,4700,8,5.0,88,"Allegiant LEED Gold 2023; Lake Mead at 35% capacity; waste rate estimated NV average"
Houston,houston,TX,Yes,"VIII, XXXVIII, LI",ERCT,0.350,771.1,29,15.0,68,50,55.6,2.0,Low-Medium,18,3.2,IAH,23.3,NRG Stadium,0,1,Retractable,3620,15,16.0,88,"Houston recycling rate low (~18%); park acreage from TPL data"
Dallas (Arlington),dallas,TX,Yes,XLV,ERCT,0.350,771.1,29,11.0,61,41,37.0,3.0,Medium-High,22,2.8,DFW,42.4,AT&T Stadium,0,1,Retractable,3835,13,12.0,88,"Water stress from North Texas periodic drought conditions; Dallas zero waste goal 2040"
Santa Clara,santa_clara,CA,Yes,"XIX, L",CAMX,0.226,497.4,51,11.7,62,44,15.0,3.5,High,65,2.5,SFO,25.1,Levi's Stadium,3,0,OpenAir,6300,10,8.0,88,"Levi's LEED Gold (first NFL); SFO airport used (SJC 12M local); Santa Clara County diversion rate"
Nashville,nashville,TN,No,N/A,SRTV,0.423,933.1,13,6.1,53,33,50.5,1.0,Low,20,1.5,BNA,12.1,Nissan Stadium,0,0,OpenAir,1500,15,15.0,80,"Waste rate estimated; new Nissan Stadium under construction (2027); low transit share"
Charlotte,charlotte,NC,No,N/A,SRVC,0.283,623.0,14,7.6,57,35,43.6,1.0,Low,28,2.9,CLT,28.5,Bank of America Stadium,0,0,OpenAir,2900,12,10.0,80,"NC renewable ~14% (top 5 US solar state); recycling from Mecklenburg County estimate"
Seattle,seattle,WA,No,N/A,NWPP,0.273,602.1,69,6.3,49,37,39.3,0.5,VeryLow,56,5.7,SEA,25.4,Lumen Field,0,0,OpenAir,9047,12,8.5,90,"WA 69% renewable (hydro-dominated); Seattle 56% diversion; TPL ParkScore #6"
